City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
0,Cabo San Lucas,MX,22.8909,-109.9124,87.1,61,20,5.75,few clouds,Hotel Tesoro Los Cabos
1,Celestun,MX,20.8667,-90.4,76.41,87,53,6.69,broken clouds,Posada Lilia
2,Yellowknife,CA,62.456,-114.3525,63.12,48,75,3.44,broken clouds,The Explorer Hotel
3,Jamestown,US,42.097,-79.2353,67.59,77,0,5.75,clear sky,Hampton Inn & Suites Jamestown
8,Banda Aceh,ID,5.5577,95.3222,86.09,61,97,11.03,overcast clouds,OYO 884 Rumoh PMI Hotel
12,Port Hardy,CA,50.6996,-127.4199,66.38,68,20,9.22,few clouds,Airport Inn-Port Hardy
16,Port Alfred,ZA,-33.5906,26.891,62.29,89,100,18.92,overcast clouds,The Halyards Hotel
17,Puerto Carreno,CO,6.189,-67.4859,76.05,89,94,4.25,overcast clouds,Casa Hotel Victoria
18,Atuona,PF,-9.8,-139.0333,76.91,72,42,23.62,scattered clouds,Hôtel Hiva Oa Hanakee Lodge
19,Quatre Cocos,MU,-20.2078,57.7625,66.31,69,97,20.78,light rain,Sunrise Attitude Hotel
21,Hithadhoo,MV,-0.6,73.0833,82.6,74,62,13.89,broken clouds,Scoop Guest House
22,Dalton,US,34.7698,-84.9702,76.68,95,90,1.48,overcast clouds,Hampton Inn Dalton
23,Campbell River,CA,50.0163,-125.2446,72.93,72,20,0.0,few clouds,Anchor Inn & Suites
24,Puerto Ayora,EC,-0.7393,-90.3518,67.55,100,100,5.01,light rain,Finch Bay Galapagos Hotel
27,Ponta Do Sol,PT,32.6667,-17.1,69.71,77,12,3.29,few clouds,Hotel do Campo
36,Hilo,US,19.7297,-155.09,84.27,80,100,6.91,overcast clouds,Hilo Hawaiian Hotel
37,Norman Wells,CA,65.282,-126.8329,69.84,43,0,4.61,clear sky,Heritage Hotel
39,Rikitea,PF,-23.1203,-134.9692,72.7,74,77,22.86,broken clouds,People ThankYou
40,Kahului,US,20.8947,-156.47,87.82,60,0,20.71,clear sky,Maui Seaside Hotel
42,Busselton,AU,-33.65,115.3333,60.08,66,0,17.98,clear sky,Observatory Guest House
45,Homer,US,59.6425,-151.5483,62.04,83,100,4.0,light rain,Beluga Lake Lodge
46,Sept-Iles,CA,50.2001,-66.3821,61.05,93,75,4.61,broken clouds,Comfort Inn
49,Thanh Hoa,VN,19.8,105.7667,76.44,97,100,1.99,heavy intensity rain,KHÁCH SẠN NGỌC LY 8
52,Raton,US,36.9034,-104.4391,69.31,59,0,3.44,clear sky,"Holiday Inn Express & Suites Raton, an IHG Hotel"
54,Mogocha,RU,53.7333,119.7667,61.36,85,100,2.15,light rain,Yalta Inn
55,Ribeira Grande,PT,38.5167,-28.7,74.75,81,100,11.56,overcast clouds,Quinta da Meia Eira
56,Vaini,TO,-21.2,-175.2,75.36,83,75,16.11,broken clouds,Keleti Beach Resort
58,Port-Cartier,CA,50.0334,-66.8654,60.75,95,85,5.19,overcast clouds,Le Q'Artier
59,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.91,96,34,2.77,scattered clouds,Alarne - Área De Lazer Do Alto Rio Negro
60,Lazaro Cardenas,MX,17.9583,-102.2,79.97,84,100,2.71,overcast clouds,HOTEL QUINTA ANTIGUA
61,Salalah,OM,17.0151,54.0924,75.29,100,100,5.75,light intensity drizzle,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
63,Edwardsville,US,38.8114,-89.9532,78.35,90,75,5.01,broken clouds,Country Hearth Inn & Suites Edwardsville St. Louis
77,Imbituba,BR,-28.24,-48.6703,62.85,99,97,2.48,overcast clouds,Praia Hotel Imbituba
78,Syracuse,IT,37.0881,15.2792,72.99,67,2,2.91,clear sky,Hotel Posta
79,El Alto,PE,-4.2714,-81.2147,60.78,88,100,16.06,overcast clouds,Black Marlin Restaurant & Hospedaje
86,Marawi,PH,7.9986,124.2928,84.04,56,30,1.9,scattered clouds,Derogongan Residence
88,Saint John,CA,45.2727,-66.0677,61.83,100,100,2.3,fog,Delta Hotels by Marriott Saint John
89,Shingu,JP,33.7333,135.9833,82.42,86,99,6.04,overcast clouds,Shingu UI Hotel
90,Mortara,IT,45.2473,8.7355,74.71,65,98,3.24,overcast clouds,B&B Il Pioppo e La Fonte
91,Mayo,US,38.8876,-76.5119,80.98,80,0,4.61,clear sky,Resorts Resource Group International
96,Bethel,US,41.3712,-73.414,77.36,64,49,5.97,scattered clouds,Courtyard by Marriott Danbury
98,Isangel,VU,-19.55,169.2667,77.11,57,75,9.22,broken clouds,Tanna Lodge
99,Pacific Grove,US,36.6177,-121.9166,68.54,84,0,8.05,clear sky,Lovers Point Inn
101,Arraial Do Cabo,BR,-22.9661,-42.0278,67.14,76,15,13.38,few clouds,Pousada Porto Praia
102,Sao Joao Da Barra,BR,-21.6403,-41.0511,65.17,82,16,12.28,few clouds,Pousada Porto De Canoas
104,Kapaa,US,22.0752,-159.319,84.18,75,40,17.27,scattered clouds,Sheraton Kauai Coconut Beach Resort Hotel
105,Sebring,US,27.4956,-81.4409,76.89,90,0,5.75,clear sky,La Quinta Inn & Suites by Wyndham Sebring
106,Le Port,RE,-20.9373,55.2919,68.25,73,12,8.95,few clouds,KORBEY D'OR OUEST
107,Sao Felix Do Xingu,BR,-6.6447,-51.995,79.14,45,81,1.23,broken clouds,Rio Xingu Camping
108,Kirakira,SB,-10.4544,161.9205,81.61,80,98,8.32,moderate rain,SanBiz Lodge
112,Carnarvon,AU,-24.8667,113.6333,73.94,27,0,17.16,clear sky,Hospitality Carnarvon
113,Naze,JP,28.3667,129.4833,88.72,72,82,0.74,broken clouds,Shishime Hotel
115,Piazzola Sul Brenta,IT,45.5415,11.7844,73.18,50,99,4.25,overcast clouds,Hotel Posta 77
116,Thompson,CA,55.7435,-97.8558,69.96,64,40,5.75,scattered clouds,Burntwood Hotel
117,Saint-Pierre,RE,-21.3393,55.4781,67.91,68,0,6.91,clear sky,Alize Plage
