,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cabo San Lucas,MX,22.8909,-109.9124,87.1,61,20,5.75,few clouds
1,Celestun,MX,20.8667,-90.4,76.41,87,53,6.69,broken clouds
2,Yellowknife,CA,62.456,-114.3525,63.12,48,75,3.44,broken clouds
3,Jamestown,US,42.097,-79.2353,67.59,77,0,5.75,clear sky
4,Forbes,AU,-33.3833,148.0167,55.35,83,98,10.71,light rain
5,Bluff,NZ,-46.6,168.3333,44.8,63,85,11.34,overcast clouds
6,Moron,AR,-34.6534,-58.6198,56.97,75,1,7.16,clear sky
7,Albany,US,42.6001,-73.9662,66.63,78,0,5.7,clear sky
8,Banda Aceh,ID,5.5577,95.3222,86.09,61,97,11.03,overcast clouds
9,Santa Rosa,PH,14.3122,121.1114,91.09,66,29,4.43,scattered clouds
10,Cape Town,ZA,-33.9258,18.4232,54.09,89,75,4.61,light rain
11,Chokurdakh,RU,70.6333,147.9167,57.81,43,45,11.21,scattered clouds
12,Port Hardy,CA,50.6996,-127.4199,66.38,68,20,9.22,few clouds
13,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,76,75,16.11,broken clouds
14,Tongzi,CN,28.7829,105.0877,95.23,46,12,4.23,few clouds
15,Leshukonskoye,RU,64.8989,45.7622,59.43,90,99,9.31,light rain
16,Port Alfred,ZA,-33.5906,26.891,62.29,89,100,18.92,overcast clouds
17,Puerto Carreno,CO,6.189,-67.4859,76.05,89,94,4.25,overcast clouds
18,Atuona,PF,-9.8,-139.0333,76.91,72,42,23.62,scattered clouds
19,Quatre Cocos,MU,-20.2078,57.7625,66.31,69,97,20.78,light rain
20,Marystown,CA,47.1666,-55.1483,58.24,96,100,6.87,overcast clouds
21,Hithadhoo,MV,-0.6,73.0833,82.6,74,62,13.89,broken clouds
22,Dalton,US,34.7698,-84.9702,76.68,95,90,1.48,overcast clouds
23,Campbell River,CA,50.0163,-125.2446,72.93,72,20,0.0,few clouds
24,Puerto Ayora,EC,-0.7393,-90.3518,67.55,100,100,5.01,light rain
25,Shar,KZ,49.5886,81.0453,72.99,51,76,5.21,broken clouds
26,New Norfolk,AU,-42.7826,147.0587,58.71,70,86,1.99,overcast clouds
27,Ponta Do Sol,PT,32.6667,-17.1,69.71,77,12,3.29,few clouds
28,Punta Arenas,CL,-53.15,-70.9167,32.11,86,0,8.05,clear sky
29,Castro,BR,-24.7911,-50.0119,43.95,98,5,5.1,clear sky
30,Qaanaaq,GL,77.484,-69.3632,36.86,77,98,5.57,overcast clouds
31,Namibe,AO,-15.1961,12.1522,59.72,91,22,2.75,few clouds
32,Saskylakh,RU,71.9167,114.0833,48.2,52,100,9.15,overcast clouds
33,Merauke,ID,-8.4667,140.3333,80.04,72,74,16.31,broken clouds
34,Nioro,GM,13.35,-15.75,76.42,89,100,5.48,overcast clouds
35,Ushuaia,AR,-54.8,-68.3,33.46,80,0,4.61,clear sky
36,Hilo,US,19.7297,-155.09,84.27,80,100,6.91,overcast clouds
37,Norman Wells,CA,65.282,-126.8329,69.84,43,0,4.61,clear sky
38,Port Elizabeth,ZA,-33.918,25.5701,57.49,94,0,13.0,clear sky
39,Rikitea,PF,-23.1203,-134.9692,72.7,74,77,22.86,broken clouds
40,Kahului,US,20.8947,-156.47,87.82,60,0,20.71,clear sky
41,Port Macquarie,AU,-31.4333,152.9167,57.88,76,100,4.12,overcast clouds
42,Busselton,AU,-33.65,115.3333,60.08,66,0,17.98,clear sky
43,Mataura,NZ,-46.1927,168.8643,44.47,73,89,3.83,overcast clouds
44,Hermanus,ZA,-34.4187,19.2345,50.81,90,100,13.6,moderate rain
45,Homer,US,59.6425,-151.5483,62.04,83,100,4.0,light rain
46,Sept-Iles,CA,50.2001,-66.3821,61.05,93,75,4.61,broken clouds
47,Chuy,UY,-33.6971,-53.4616,50.5,93,18,6.26,few clouds
48,Asau,RO,46.4333,26.4,56.32,76,9,4.5,clear sky
49,Thanh Hoa,VN,19.8,105.7667,76.44,97,100,1.99,heavy intensity rain
50,Longyearbyen,SJ,78.2186,15.6401,44.44,65,75,11.5,broken clouds
51,Pevek,RU,69.7008,170.3133,35.76,94,96,14.34,overcast clouds
52,Raton,US,36.9034,-104.4391,69.31,59,0,3.44,clear sky
53,Tiksi,RU,71.6872,128.8694,40.01,84,100,8.19,overcast clouds
54,Mogocha,RU,53.7333,119.7667,61.36,85,100,2.15,light rain
55,Ribeira Grande,PT,38.5167,-28.7,74.75,81,100,11.56,overcast clouds
56,Vaini,TO,-21.2,-175.2,75.36,83,75,16.11,broken clouds
57,Ostrovnoy,RU,68.0531,39.5131,53.87,79,21,19.15,few clouds
58,Port-Cartier,CA,50.0334,-66.8654,60.75,95,85,5.19,overcast clouds
59,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.91,96,34,2.77,scattered clouds
60,Lazaro Cardenas,MX,17.9583,-102.2,79.97,84,100,2.71,overcast clouds
61,Salalah,OM,17.0151,54.0924,75.29,100,100,5.75,light intensity drizzle
62,Torbay,CA,47.6666,-52.7314,58.26,95,100,6.91,overcast clouds
63,Edwardsville,US,38.8114,-89.9532,78.35,90,75,5.01,broken clouds
64,Henties Bay,NA,-22.116,14.2845,52.36,88,1,3.85,clear sky
65,Tuatapere,NZ,-46.1333,167.6833,46.71,75,76,5.28,broken clouds
66,Brae,GB,60.3964,-1.353,51.64,82,100,2.62,overcast clouds
67,Kichera,RU,55.9375,110.0997,65.32,62,65,5.77,light rain
68,Husavik,IS,66.0449,-17.3389,48.34,77,87,9.89,overcast clouds
69,Finnsnes,NO,69.2296,17.9811,49.75,88,96,29.57,light rain
70,Dikson,RU,73.5069,80.5464,46.09,82,90,25.19,overcast clouds
71,Vila,PT,42.0304,-8.1588,54.48,89,0,1.63,clear sky
72,Iqaluit,CA,63.7506,-68.5145,47.93,71,20,2.3,few clouds
73,Kruisfontein,ZA,-34.0033,24.7314,53.89,92,100,5.55,overcast clouds
74,Marzuq,YE,14.4,46.4667,77.16,65,87,8.25,overcast clouds
75,Thinadhoo,MV,0.5333,72.9333,82.67,73,69,9.84,broken clouds
76,Sobolevo,RU,54.4299,31.8996,57.47,79,0,5.61,clear sky
